netid,cornellEduCWID,cwid_in_reciter,netid_pubs,cwid_pubs
aa749,ava4001,yes,0,167
aam346,alm4018,no,,
ab3239,aab4007,no,,
ab447,adb2150,no,,
aba88,asa4052,no,,
ac2828,arc4015,no,,
ac2849,arc4009,no,,
ac2853,alc4024,no,,
aca27,aca4005,yes,0,20
ack88,ack2003,yes,0,69
act245,act4002,no,,
ad834,and4021,no,,
adb258,adb4011,no,,
adl243,aml4007,no,,
ado4,ado2006,yes,0,54
aea68,ara4033,no,,
ag2435,mqd9003,no,,
aga56,aya4008,no,,
aj58,anj4017,no,,
ajb496,aub4002,no,,
ajt32,alt4015,yes,0,76
ak944,abk4003,no,,
alg52,amg4016,yes,0,20
alh333,anh4016,no,,
ami26,ami4002,no,,
aoo35,ayo4002,no,,
arg267,arg4016,no,,
as2783,ads4014,no,,
as3894,ays4004,no,,
asw248,ast4015,yes,0,2
aw848,anw4014,no,,
azk22,alk4049,no,,
bas363,bas4008,yes,0,4
bbj9,bbj4001,no,,
bef57,brf4004,no,,
bf357,bof4001,no,,
bll3,brl2025,no,,
bmw39,bew2019,no,,
bp427,bhp4004,no,,
bs773,bes4001,no,,
cak267,ckn4001,no,,
cal369,chl4042,no,,
cc2867,chc4049,no,,
cel72,cel2012,yes,0,0
cg82,cag4023,no,,
chw72,chw4005,no,,
cj397,caj4003,no,,
cjc73,cjc4005,no,,
cjh337,cah4006,no,,
cjs423,chs4046,no,,
clb358,clb4006,yes,0,1
clh275,hec4003,no,,
cmc528,cca4004,yes,0,10
cmm552,clm4011,no,,
cp569,cap4019,no,,
cpd57,cad4014,no,,
cqr3,cor4005,no,,
cr347,acr2213,yes,0,69
crl94,col4009,no,,
crm17,chm4015,no,,
cs385,cbs2003,yes,0,44
csn39,can4010,no,,
ctc9,ctc4001,no,,
cw862,iic9005,no,,
daa243,daa4012,no,,
dal16,dal2039,no,,
dal4,dal4030,yes,0,118
dbt54,det4006,no,,
de226,dee2007,yes,0,37
djx3,djx4001,no,,
dkp45,khp4002,no,,
dmf6,daf2023,yes,0,0
ds2473,rgv9004,no,,
eak17,edk2001,yes,0,0
ekw36,erw4005,no,,
ell72,eml4015,no,,
epg2,epg4002,yes,0,2
esc99,azg9005,no,,
ew20,elw2013,yes,0,43
fh87,feh4006,no,,
fl453,faz9016,no,,
fmm73,fam4020,no,,
fp265,bfp4001,yes,0,131
fp284,pon4001,no,,
gak36,gak2008,yes,0,240
ges246,ges4005,no,,
gfb48,beg4006,no,,
ggb46,gab4018,no,,
hc872,ofn9004,no,,
hd367,had4012,no,,
hgs2,hgs9001,yes,0,2
hk672,hek4004,yes,0,11
hk932,cih4003,no,,
hlr42,her4001,no,,
hs2274,hes4024,no,,
hs825,hes2184,no,,
hsd39,hsd4001,no,,
hv28,hev2006,yes,0,112
hw796,kew4018,no,,
id93,iwd4001,no,,
ig332,ivg4001,no,,
ivk4,ivk4002,no,,
jas456,jas2037,yes,0,184
jas969,jas4064,no,,
jd2288,jed4021,no,,
jdc339,jdc339,no,,
jdn56,jen4007,yes,0,186
jfa79,jaa4034,no,,
jgm45,jam2054,yes,0,112
jhc38,joc4026,yes,0,92
jhc48,juc4010,yes,0,0
jhp265,jup4010,no,,
jis62,jis4013,no,,
jiv2,jav2010,no,,
jjc429,juc4021,no,,
jje1,joe2011,no,,
jjf43,jof9130,no,,
jjk297,jak4030,no,,
jjt225,jot4014,no,,
jjv62,jav4013,no,,
jjw275,juw4008,yes,0,0
jk2768,hek4008,no,,
jl2574,jel4032,no,,
jl3939,jul4025,no,,
jlh477,jah4015,yes,0,1
jlo72,jeo4010,no,,
jm2362,jam4036,yes,0,13
jpp9,jop2022,yes,0,18
jrb527,jrb2175,no,,
jss534,jss4001,no,,
jst5,jst4002,yes,0,7
jv458,jov4013,no,,
jx389,sgx9001,no,,
jxm3,jxm4001,no,,
jz563,jzh4013,no,,
kap6,kap2037,yes,0,136
kb269,kib4002,no,,
kbk46,bkk4001,no,,
kc2344,kch4020,no,,
kf326,kjf4001,yes,0,41
kjv39,kjv4001,yes,0,0
kl997,kel4024,no,,
km854,kam4034,no,,
kmg32,keg2002,yes,0,37
kmp253,kyp4001,no,,
kn356,ken4003,no,,
kns66,kas4055,no,,
kqw4,kiw4003,no,,
kr499,kir2013,no,,
kws5,kws4001,yes,0,0
laf4,lif3002,yes,0,1
lci2,lyi4001,no,,
ld486,lkd4002,no,,
lds224,lms4009,no,,
lj338,lej4006,no,,
lmw25,lmw3001,no,,
ls699,las4002,no,,
mae228,mae4012,no,,
mam756,mem2034,no,,
maw376,maw4001,no,,
mbl235,bel4009,no,,
mgp73,map4032,no,,
mh2467,muh4001,no,,
mib46,mib4030,no,,
mib54,mab4069,no,,
mjs472,mjs4011,no,,
mk2293,mke4002,no,,
mlt228,mag4063,no,,
mm2463,mem4012,no,,
mm2492,mom4013,yes,0,0
mm459,mam4073,no,,
mp2288,mip4024,no,,
mrr243,mrr4007,yes,0,0
mrz36,maz2012,no,,
ms2736,mas4022,no,,
ms3375,mrs4002,yes,0,187
mss452,mas4131,no,,
mt789,mot4001,no,,
mtm83,mam4167,no,,
mtw1,maw2065,yes,24,65
mw2243,mew4012,no,,
nal46,nal4003,yes,0,29
ng343,afh9012,no,,
ng463,nag4007,no,,
nk447,nak2034,no,,
nlb74,gpm9003,no,,
nld42,nid4013,yes,0,11
nn284,gay9002,no,,
nn342,nan4008,no,,
nt352,iul9002,no,,
ntp27,nip4008,yes,0,0
nw335,naw4003,no,,
nyl6,nyl4002,no,,
nz282,naz4006,no,,
od73,omd4003,no,,
pac6,pac2037,yes,0,91
pc242,pac4019,no,,
po222,pao4009,no,,
qas3,ytx9003,no,,
qy242,qiy4003,no,,
rcm334,ram4030,no,,
rf453,rof4006,yes,0,31
rfh67,roh4009,no,,
rjk322,rik4002,no,,
rl655,rul4003,no,,
rlp239,rlp4001,no,,
rls463,lrs2004,yes,0,9
rmi8,rei2003,no,,
rn336,ran4012,no,,
rpm247,ram4039,no,,
rs2492,ras4037,no,,
rs952,raz4003,yes,0,13
rwt22,baw4007,no,,
rz369,riz4001,no,,
sak369,skh4016,no,,
sar323,sar2040,no,,
sb2243,sub4007,no,,
sb43,sbeck,no,,
sbc76,scp2002,yes,0,119
sek269,skr4002,no,,
sh2596,syh4002,no,,
sh2646,shh4027,no,,
shl1,shl3005,no,,
shm7,shm2040,no,,
sim44,sum4009,no,,
sjh333,sah4028,no,,
sk3355,mcy9004,no,,
sm939,sam4034,yes,0,116
sm985,sam4075,no,,
spb229,spb4002,no,,
sr2433,zyw9005,no,,
srn67,son4004,no,,
ss3946,shs3017,no,,
ss4333,hht9006,no,,
ssl265,sli4001,no,,
sss284,zvn9002,no,,
st965,sta4009,no,,
st986,szt4001,no,,
sv528,shv4011,no,,
sy836,sey4006,no,,
szb3,sab4017,no,,
tad96,tad4008,no,,
tan55,thn4004,no,,
tf276,tif4005,no,,
tg399,tag4018,no,,
tjk238,tki4001,no,,
tl842,tol4006,no,,
tsc84,tsc2004,no,,
tsl59,tyl4004,no,,
tv74,thv4002,no,,
vb344,vib4005,no,,
vk379,kjy9004,no,,
wbt3,bet4004,no,,
wh446,weh4004,no,,
wl758,wul4001,no,,
wmt1,wit2005,yes,0,38
xh278,xih4004,yes,0,13
xkz2,kaz2004,yes,0,129
xx245,xix4001,no,,
yc636,yic4017,no,,
yf449,yif4008,no,,
yg478,yig4003,no,,
yg657,yag4010,no,,
yk748,yok4005,no,,
yl2883,qfz9003,no,,
yl3838,yil4029,no,,
yp255,yap4006,no,,
yw2692,yuw4018,no,,
yz2886,gyz4001,no,,
yz3275,yuz4023,no,,
yz596,yiz2014,yes,0,94
zg45,zeg4001,no,,
zl535,zhl4008,no,,
