afid,name,origin
60007997,Weill Cornell Medicine,home-list
105529809,Weill Cornell,home-list
108567977,Weill Cornell,home-list
60019868,Weill Cornell Medical Center,home-list
60000247,Weill Cornell Graduate School of Medical Sciences,home-list
60072750,Weill Cornell Medicine-Qatar,home-list
60109878,Weill Cornell Medicine Feil Family Brain & Mind Research Institute,home-list
60026978,Weill Cornell Institute of Geriatric Psychiatry,home-list
60025849,Weill Cornell Breast Center,home-list
100315705,Division of Cardiology,home-list
100370280,Division of Endocrinology,home-list
115325844,Center for Autism and the Developing Brain,home-list
107923633,New York Weill Cornell Center,home-list
112568533,NewYork-Presbyterian/Weill Cornell,home-list
117155719,Samuel J. Wood Library and C.V. Starr Biomedical Information Center,home-list
118363394,Weill Cornell,home-list
109378892,Weill Cornell,home-list
118197089,Weill Cornell Medicine,home-list
120163969,Weill Cornell Department of Medicine,home-list
112627712,Weill Cornell,home-list
114308448,Tri-Institutional Therapeutics Discovery Institute,home-list
101996631,Cornell-Weill Medical Program,home-list
122917640,Tri-Institutional Therapeutics Discovery Institute,home-list
108960262,Weill Cornell,home-list
126598090,Weill Cornell Cardiovascular Outcomes Research Group (CORG),home-list
126569819,Weill Cornell Medicine,home-list
126209228,Weill Cornell Medicine and NewYork-Presbyterian,home-list
112743895,Weill Cornell Cancer Center,home-list
112651838,Weill Cornell Center for Genomic Health,home-list
124678793,Weill Cornell,home-list
112805461,Weill Cornell Genomics Core Facility,home-list
126291601,Weill Cornell Campus,home-list
116739393,NewYork-Presbyterian Weill Cornell Medicine,home-list
112625535,Weill Cornell Brain and Spine Center,home-list
125305204,Weill Cornell,home-list
114850318,Weill Cornell at New York–Presbyterian,home-list
125303244,Weill Cornell,home-list
128252749,Weill Cornell Medicine,home-list
127074522,Weill Cornell Medicine Department of Ophthalmology,home-list
116516911,New York Presbyterian Weill Cornell Department of Gynecologic Oncology,home-list
113384516,Tri-Institutional Laboratory of Comparative Pathology,home-list
101778222,Tri-Institutional PhD Program in Chemical Biology,home-list
105184720,Tri-Institutional Training Program in Computational Biology and Medicine,home-list
60138910,Weill Bugando School of Medicine,home-list
125316739,Weill Cornell,home-list
126961696,Weill Cornell Medicine,home-list
120409098,Weill Cornell New York Presbyterian Epilepsy Center,home-list
100520080,Columbia Weill Cornell Division of Vascular Surgery,home-list
101633292,New York Presbyterian Weill Cornell Hospital,home-list
123730906,Tri-Institutional MD-PhD Program,home-list
106537581,Weill Medicine,home-list
113207685,Weill Cornell High School Science Immersion Program,home-list
107163477,Institute for Geriatric Psychiatry,home-list
60012732,Weill Cornell Internal Medicine Associates,home-list
126269126,Weill Cornell Medicine,home-list
127863145,Weill Cornell Medicine,home-list
122033412,Weill Cornell Medicine Center for Perioperative Outcomes,home-list
108364787,Weill Cornell Medicine Center,home-list
105800915,Weill Cornell Multiple Sclerosis Center,home-list
130869980,Weill Cornell Graduate School,affil-search-added
119027669,Weill Institute for Neurosciences,affil-search-added
126208284,Weill Cornell Physician Organization,affil-search-added
132711035,Weill-Cornell Tri-Institutional Pain Program,affil-search-added
128656280,Weill Cornell Neuroscience PhD Program,affil-search-added
106657695,New York Weill Medical Center,affil-search-added
121839777,Komansky Children's Hospital/Weill Cornell,affil-search-added
122425735,Weill Cornell Physician Organization Information Services,affil-search-added
113394884,Weill Bugando Hospital,affil-search-added
129668484,Weill Cornell Physicians Organization,affil-search-added
125631686,Weill Cornel Medicine University,affil-search-added
105937601,Weill Greenberg Center,affil-search-added
101651661,NYPH Weill Cornell,affil-search-added
129586939,NewYork-Presbyterian Weill Cornell Psychiatry,affil-search-added
112620368,Weill Cornell Department of Anesthesiology,affil-search-added
126626355,Weill Cornel Medicine,affil-search-added
106204585,Laboratoire de Biochimie (Dr. Pr. J. Weill) U.E.R. Médecine-2 bis,affil-search-added
107061575,Weill-Cornell Cellular Immunology Laboratory,affil-search-added
131493557,Weill Cornell Division of Biostatistics,affil-search-added
133842299,Weill Cornell Medicine-Qatar,affil-search-added
131589519,Ｗｅｉｌｌ Ｃｏｒｎｅｌｌ Ｍｅｄｉｃａｌ Ｃｏｌｌｅｇｅ,affil-search-added
133465780,Weill Cornell Department of Urology Center for Female Pelvic Health,affil-search-added
116516732,New York Presbyterian Weill Cornell Department of Pathology,affil-search-added
132841731,Weill Cornel College of Medicine,affil-search-added
132445283,Pediatrics and Neurology Weill Cornell Medicine Pediatric Headache Program,affil-search-added
128079802,Weill Bu-gando School of Medicine,affil-search-added
119877568,NY Presbyt. H.-Weill Cor. Med. Ctr.,affil-search-added
107633220,Weill Bugando Medical University,affil-search-added
122252381,Weill Institute for Neurosciences and,affil-search-added
131674732,Sidra/Weill Cornell Medicine,affil-search-added
130838894,Weill Cornell Medicine,affil-search-added
131129088,Weill Cornell Medicine Brain and Spine Center/NewYork-Presbyterian Lower Manhattan Hospital,affil-search-added
132872473,Weill Cornell Medicine,affil-search-added
116238048,Weill Cornell Center for Human Rights,affil-search-added
117521746,Cornell Weill University Emily Grover,affil-search-added
132684862,First Databank/ Weill Cornell,affil-search-added
116202584,Weill Bugando School of Medicine,affil-search-added
132915840,Weill Cornell Medicine for the Alzheimer’s Disease Neuroimaging Initiative,affil-search-added
114543725,Personality Disorders Institute of Weill-Cornell,affil-search-added
109542000,Weill Cornell Parkinson's Disease and Movement Disorders Institute,affil-search-added
132922057,Weill Cornell University Medical College,affil-search-added
130937596,Weill Cornell Memory Disorders Program,affil-search-added
134196764,Weill,affil-search-added
133614850,Meyer Cancer Center Weill Cornell Medicine,affil-search-added
132184594,Platelet Research & Treatment Program Weill,affil-search-added
100932112,Henrietta Weill Memorial Child Guidance Clinic,affil-search-added
122812895,New York Presbyterian Hospital/ Weill Cornell Medicine,affil-search-added
125800957,Weill Cornell Physicians,affil-search-added
133394180,Weill Medical College of Cornell University-Qatar,affil-search-added
112942526,Weill Bugando Medical College,affil-search-added
122523690,Weill Cornell Medicine,affil-search-added
128998395,Weill Neurosciences Institute and Department of Neurology,affil-search-added
131230352,Weill Cornell Department Rehabilitation Medicine,affil-search-added
115068614,Dalio Institute of Cardiovascular Imaging NewYork-Presbyterian Hospital and Weill Cornell Medical College,affil-search-added
132424599,Weill Cornell Grаduаte School of Medicаl Sciences,affil-search-added
131489462,Weill Cornel Medicine,affil-search-added
127433001,Weill Cornell Medicine Department of Otolaryngology-Head and Neck Surgery,affil-search-added
129587781,NewYork-Presbyterian,affil-search-added
134124686,Cardiovascular Research Institute (J.C.L.) Weill Cornell Medicine,affil-search-added
125580277,Weill Cornell,affil-search-added
126256894,Samuel J. Wood Library Weill CornellMedicine,affil-search-added
124679109,Weill Medical College,affil-search-added
126644991,New York-Presbyterian Hospital Weill,affil-search-added
132575451,Weill Corneal Medical Hospital,affil-search-added
112804547,Hôpital Simone Weill,affil-search-added
101772812,Weill Medical Collegea,affil-search-added
133777607,The John Milton McLean Professor and Chair Weill Cornell Medicine Ophthalmology,affil-search-added
129663339,Medicine Weill Cornell SOM NYPresbyterian-BMH,affil-search-added
124165793,Weill Cornell Medical College/NYP Hospital,affil-search-added
131282391,Weill Cornell Medical College,affil-search-added
133651082,Weill Cornell Medical College,affil-search-added
112599633,Weill Bugando Medical College of Health Sciences,affil-search-added
129271093,Sidra/Weill Cornell Medicine,affil-search-added
115301677,Weill Comrnell Medical Center,affil-search-added
127295815,Well Cornell University Hospital,affil-search-added
