afid,name,origin
60007776,Cornell University (Ithaca),affil-search-2026-09-03
60104946,Cornell University College of Engineering,affil-search-2026-09-03
60021620,Cornell University College of Veterinary Medicine,affil-search-2026-09-03
60104836,Cornell University College of Arts and Sciences,affil-search-2026-09-03
60027191,Cornell University Laboratory of Atomic and Solid State Physics,affil-search-2026-09-03
60012094,Cornell University College of Agriculture and Life Sciences,affil-search-2026-09-03
60025303,Cornell University School of Industrial and Labor Relations,affil-search-2026-09-03
60030638,Cornell University School of Hotel Administration,affil-search-2026-09-03
60028072,Department of Information Science (Cornell Ithaca),affil-search-2026-09-03
60104858,Cornell University Weill Institute for Cell and Molecular Biology,affil-search-2026-09-03
60001788,Cornell University Cooperative Extension,affil-search-2026-09-03
60013798,Cornell University Hospital for Animals,affil-search-2026-09-03
60097815,Cornell University Museum of Vertebrates,affil-search-2026-09-03
60007526,Cornell AgriTech (Geneva NY),affil-search-2026-09-03
101548990,Cornell Analytical Laboratories (Geneva NY),affil-search-2026-09-03
60104837,Cornell Tech (Roosevelt Island NYC),affil-search-2026-09-03
